18001001 ΜΑΚΑΡΙΟΣ ΜΑΚΑΡΙΟΣ ΜΑΚΑΡΙΟΣ
18001001 ἀνὴρ ἀνὴρ ἀνήρ
18001001 ὃς ὃς ὅς
18001001 οὐκ οὐκ οὐ
18001001 ἐπορεύθη ἐπορεύθη ἐπορεύθη
18001001 ἐν ἐν ἐν
18001001 βουλῇ βουλῇ βουλῇ
18001001 ἀσεβῶν, ἀσεβῶν ἀσεβῶν
18001001 καὶ καὶ καί
18001001 ἐν ἐν ἐν
18001001 ὁδῷ ὁδῷ ὁδῷ
18001001 ἁμαρτωλῶν ἁμαρτωλῶν ἁμαρτωλῶν
18001001 οὐκ οὐκ οὐ
18001001 ἔστη, ἔστη ἔστη
18001001 καὶ καὶ καί
18001001 ἐπὶ ἐπὶ ἐπί
18001001 καθέδραν καθέδραν καθέδραν
18001001 λοιμῶν λοιμῶν λοιμῶν
18001001 οὐκ οὐκ οὐ
18001001 ἐκάθισεν· ἐκάθισεν ἐκάθισεν
18001002 ἀλλ’ ἀλλ’ ἀλλά
18001002 ἢ ἢ ἤ
18001002 ἐν ἐν ἐν
18001002 τῷ τῷ τῷ
18001002 νόμῳ νόμῳ νόμῳ
18001002 Κυρίου Κυρίου Κυρίου
18001002 τὸ τὸ τό
18001002 θέλημα θέλημα θέλημα
18001002 αὐτοῦ, αὐτοῦ αὐτοῦ
18001002 καὶ καὶ καί
18001002 ἐν ἐν ἐν
18001002 τῷ τῷ τῷ
18001002 νόμῳ νόμῳ νόμῳ
18001002 αὐτοῦ αὐτοῦ αὐτοῦ
18001002 μελετήσει μελετήσει μελετήσει
18001002 ἡμέρας ἡμέρας ἡμέρας
18001002 καὶ καὶ καί
18001002 νυκτός. νυκτός νυκτός
18001003 καὶ καὶ καί
18001003 ἔσται ἔσται ἔσται
18001003 ὡς ὡς ὡς
18001003 τὸ τὸ τό
18001003 ξύλον ξύλον ξύλον
18001003 τὸ τὸ τό
18001003 πεφυτευμένον πεφυτευμένον πεφυτευμένον
18001003 παρὰ παρὰ παρά
18001003 τὰς τὰς τάς
18001003 διεξόδους διεξόδους διεξόδους
18001003 τῶν τῶν τῶν
18001003 ὑδάτων, ὑδάτων ὑδάτων
18001003 ὃ ὃ ὁ/ὅ@
18001003 τὸν τὸν τόν
18001003 καρπὸν καρπὸν καρπόν
18001003 αὐτοῦ αὐτοῦ αὐτοῦ
18001003 δώσει δώσει δώσει
18001003 ἐν ἐν ἐν
18001003 καιρῷ καιρῷ καιρῷ
18001003 αὐτοῦ, αὐτοῦ αὐτοῦ
18001003 καὶ καὶ καί
18001003 τὸ τὸ τό
18001003 φύλλον φύλλον φύλλον
18001003 αὐτοῦ αὐτοῦ αὐτοῦ
18001003 οὐκ οὐκ οὐ
18001003 ἀπορρυήσεται· ἀπορρυήσεται ἀπορρυήσεται
18001003 καὶ καὶ καί
18001003 πάντα πάντα πάντα
18001003 ὅσα ὅσα ὅσα
18001003 ἂν ἂν ἄν
18001003 ποιῇ ποιῇ ποιῇ
18001003 κατευοδωθήσεται. κατευοδωθήσεται κατευοδωθήσεται
18001004 οὐχ οὐχ οὐ
18001004 οὕτως οὕτως οὕτως
18001004 οἱ οἱ οἱ
18001004 ἀσεβεῖς, ἀσεβεῖς ἀσεβεῖς
18001004 οὐχ οὐχ οὐ
18001004 οὕτως, οὕτως οὕτως
18001004 ἀλλ’ ἀλλ’ ἀλλά
18001004 ἢ ἢ ἤ
18001004 ὡς ὡς ὡς
18001004 ὁ ὁ ὁ
18001004 χνοῦς χνοῦς χνοῦς
18001004 ὃν ὃν ὅν
18001004 ἐκριπτεῖ ἐκριπτεῖ ἐκριπτεῖ
18001004 ὁ ὁ ὁ
18001004 ἄνεμος ἄνεμος ἄνεμος
18001004 ἀπὸ ἀπὸ ἀπό
18001004 προσώπου προσώπου προσώπου
18001004 τῆς τῆς τῆς
18001004 γῆς. γῆς γῆς
18001005 διὰ διὰ διά
18001005 τοῦτο τοῦτο τοῦτο
18001005 οὐκ οὐκ οὐ
18001005 ἀναστήσονται ἀναστήσονται ἀναστήσονται
18001005 οἱ οἱ οἱ
18001005 ἀσεβεῖς ἀσεβεῖς ἀσεβεῖς
18001005 ἐν ἐν ἐν
18001005 κρίσει, κρίσει κρίσει
18001005 οὐδὲ οὐδὲ οὐδέ
18001005 ἁμαρτωλοὶ ἁμαρτωλοὶ ἁμαρτωλοί
18001005 ἐν ἐν ἐν
18001005 βουλῇ βουλῇ βουλῇ
18001005 δικαίων· δικαίων δικαίων
18001006 ὅτι ὅτι ὅτι
