17001001 ΛΟΓΟΙ ΛΟΓΟΙ ΛΟΓΟΙ
17001001 Νεεμία Νεεμία Νεεμία
17001001 υἱοῦ υἱοῦ υἱοῦ
17001001 Χελκειά. Χελκειά Χελκειά
17001001 Καὶ Καὶ Καί
17001001 ἐγένετο ἐγένετο ἐγένετο
17001001 ἐν ἐν ἐν
17001001 μηνὶ μηνὶ μηνί
17001001 Σεχεηλοὺ Σεχεηλοὺ Σεχεηλού
17001001 ἔτους ἔτους ἔτους
17001001 εἰκοστοῦ εἰκοστοῦ εἰκοστοῦ
17001001 καὶ καὶ καί
17001001 ἐγὼ ἐγὼ ἐγώ
17001001 ἤμην ἤμην ἤμην
17001001 ἐν ἐν ἐν
17001001 Σουσὰν Σουσὰν Σουσάν
17001001 ἁβειρά· ἁβειρά ἁβειρά
17001002 καὶ καὶ καί
17001002 ἦλθεν ἦλθεν ἦλθεν
17001002 Ἁνανὶ Ἁνανὶ Ἁνανί
17001002 εἷς εἷς εἷς
17001002 ἀπὸ ἀπὸ ἀπό
17001002 τῶν τῶν τῶν
17001002 ἀδελφῶν ἀδελφῶν ἀδελφῶν
17001002 μου, μου μου
17001002 αὐτὸς αὐτὸς αὐτός
17001002 καὶ καὶ καί
17001002 ἄνδρες ἄνδρες ἄνδρες
17001002 Ἰούδα, Ἰούδα Ἰούδα
17001002 καὶ καὶ καί
17001002 ἠρώτησα ἠρώτησα ἠρώτησα
17001002 αὐτοὺς αὐτοὺς αὐτούς
17001002 περὶ περὶ περί
17001002 τῶν τῶν τῶν
17001002 σωθέντων σωθέντων σωθέντων
17001002 οἳ οἳ οἵ
17001002 κατελίπησαν κατελίπησαν κατελίπησαν
17001002 ἀπὸ ἀπὸ ἀπό
17001002 τῆς τῆς τῆς
17001002 αἰχμαλωσίας αἰχμαλωσίας αἰχμαλωσίας
17001002 καὶ καὶ καί
17001002 περὶ περὶ περί
17001002 Ἰερουσαλήμ. Ἰερουσαλήμ Ἰερουσαλήμ
17001003 καὶ καὶ καί
17001003 εἴποσαν εἴποσαν εἴποσαν
17001003 πρὸς πρὸς πρός
17001003 μέ μέ μέ
17001003 Οἱ Οἱ Οἱ
17001003 καταλειπόμενοι καταλειπόμενοι καταλειπόμενοι
17001003 οἱ οἱ οἱ
