16001001 ΚΑΙ ΚΑΙ ΚΑΙ
16001001 ἐν ἐν ἐν
16001001 τῷ τῷ τῷ
16001001 πρώτῳ πρώτῳ πρώτῳ
16001001 ἔτει ἔτει ἔτει
16001001 Κύρου Κύρου Κύρου
16001001 τοῦ τοῦ τοῦ
16001001 βασιλέως βασιλέως βασιλέως
16001001 Περσῶν, Περσῶν Περσῶν
16001001 τοῦ τοῦ τοῦ
16001001 τελεσθῆναι τελεσθῆναι τελεσθῆναι
16001001 ἀπὸ ἀπὸ ἀπό
16001001 στόματος στόματος στόματος
16001001 Ἰερεμίου, Ἰερεμίου Ἰερεμίου
16001001 ἐξήγειρεν ἐξήγειρεν ἐξήγειρεν
16001001 τὸ τὸ τό
16001001 πνεῦμα πνεῦμα πνεῦμα
16001001 Κύρου Κύρου Κύρου
16001001 βασιλέως βασιλέως βασιλέως
16001001 Περσῶν, Περσῶν Περσῶν
16001001 καὶ καὶ καί
16001001 παρήγγειλεν παρήγγειλεν παρήγγειλεν
16001001 φωνὴν φωνὴν φωνήν
16001001 ἐν ἐν ἐν
16001001 πάσῃ πάσῃ πάσῃ
16001001 βασιλείᾳ βασιλείᾳ βασιλείᾳ
16001001 αὐτοῦ αὐτοῦ αὐτοῦ
16001001 καὶ καὶ καί
16001001 γε γε γε
16001001 ἐν ἐν ἐν
16001001 γραπτῷ γραπτῷ γραπτῷ
16001001 λέγων λέγων λέγων
16001002 Οὕτως Οὕτως Οὕτως
16001002 εἶπεν εἶπεν εἶπεν
16001002 Κῦρος Κῦρος Κῦρος
16001002 βασιλεὺς βασιλεὺς βασιλεύς
16001002 Περσῶν Περσῶν Περσῶν
16001002 Πάσας Πάσας Πάσας
16001002 τὰς τὰς τάς
16001002 βασιλείας βασιλείας βασιλείας
16001002 ἔδωκέν ἔδωκέν ἔδωκέν
16001002 μοι μοι μοι
16001002 ὁ ὁ ὁ
16001002 θεὸς θεὸς θεός
16001002 τοῦ τοῦ τοῦ
16001002 οὐρανοῦ, οὐρανοῦ οὐρανοῦ
16001002 καὶ καὶ καί
16001002 αὐτὸς αὐτὸς αὐτός
16001002 ἐπεσκέψατό ἐπεσκέψατό ἐπεσκέψατό
16001002 με με με
16001002 ἐπ’ ἐπ’ ἐπί
16001002 ἐμὲ ἐμὲ ἐμέ
16001002 οἰκοδομῆσαι οἰκοδομῆσαι οἰκοδομῆσαι
16001002 αὐτῷ αὐτῷ αὐτῷ
16001002 οἶκον οἶκον οἶκον
16001002 ἐν ἐν ἐν
16001002 Ἰερουσαλὴμ Ἰερουσαλὴμ Ἰερουσαλήμ
16001002 τῇ τῇ τῇ
16001002 ἐν ἐν ἐν
16001002 Ἰούδᾳ. Ἰούδᾳ Ἰούδᾳ
16001003 τίς τίς τίς
16001003 ἐν ἐν ἐν
16001003 ὑμῖν ὑμῖν ὑμῖν
16001003 ἀπὸ ἀπὸ ἀπό
16001003 παντὸς παντὸς παντός
16001003 τοῦ τοῦ τοῦ
16001003 λαοῦ λαοῦ λαοῦ
16001003 αὐτοῦ; αὐτοῦ αὐτοῦ
16001003 καὶ καὶ καί
16001003 ἔσται ἔσται ἔσται
16001003 ὁ ὁ ὁ
16001003 θεὸς θεὸς θεός
16001003 αὐτοῦ αὐτοῦ αὐτοῦ
16001003 μετ’ μετ’ μετά
16001003 αὐτοῦ, αὐτοῦ αὐτοῦ
16001003 καὶ καὶ καί
16001003 ἀναβήσεται ἀναβήσεται ἀναβήσεται
16001003 εἰς εἰς εἰς
16001003 Ἰερουσαλήμ. Ἰερουσαλήμ Ἰερουσαλήμ
16001004 καὶ καὶ καί
16001004 πᾶς πᾶς πᾶς
16001004 ὁ ὁ ὁ
16001004 καταλειπόμενος καταλειπόμενος καταλειπόμενος
16001004 ἀπὸ ἀπὸ ἀπό
16001004 πάντων πάντων πάντων
16001004 τῶν τῶν τῶν
16001004 τόπων τόπων τόπων
16001004 οὗ οὗ οὗ
16001004 αὐτὸς αὐτὸς αὐτός
16001004 παροικεῖ παροικεῖ παροικεῖ
16001004 ἐκεῖ, ἐκεῖ ἐκεῖ
16001004 καὶ καὶ καί
16001004 λήμψονται λήμψονται λήμψονται
16001004 αὐτὸν αὐτὸν αὐτόν
16001004 ἄνδρες ἄνδρες ἄνδρες
16001004 τοῦ τοῦ τοῦ
16001004 τόπου τόπου τόπου
16001004 αὐτοῦ αὐτοῦ αὐτοῦ
16001004 ἐν ἐν ἐν
16001004 ἀργυρίῳ ἀργυρίῳ ἀργυρίῳ
16001004 καὶ καὶ καί
16001004 χρυσίῳ χρυσίῳ χρυσίῳ
16001004 καὶ καὶ καί
16001004 ἀποσκευῇ ἀποσκευῇ ἀποσκευῇ
16001004 καὶ καὶ καί
16001004 κτήνεσιν κτήνεσιν κτήνεσιν
16001004 μετὰ μετὰ μετά
16001004 τοῦ τοῦ τοῦ
16001004 ἑκουσίου ἑκουσίου ἑκουσίου
16001004 εἰς εἰς εἰς
16001004 οἶκον οἶκον οἶκον
16001004 τοῦ τοῦ τοῦ
16001004 θεοῦ θεοῦ θεοῦ
16001004 τοῦ τοῦ τοῦ
16001004 ἐν ἐν ἐν
16001004 Ἰερουσαλήμ. Ἰερουσαλήμ Ἰερουσαλήμ
16001005 καὶ καὶ καί
