05001001 ΟΥΤΟΙ ΟΥΤΟΙ ΟΥΤΟΙ
05001001 οἱ οἱ οἱ
05001001 λόγοι λόγοι λόγοι
05001001 οὓς οὓς οὕς
05001001 ἐλάλησεν ἐλάλησεν ἐλάλησεν
05001001 Μωυσῆς Μωυσῆς Μωυσῆς
05001001 παντὶ παντὶ παντί
05001001 Ἰσραὴλ Ἰσραὴλ Ἰσραήλ
05001001 πέραν πέραν πέραν
05001001 τοῦ τοῦ τοῦ
05001001 Ἰορδάνου Ἰορδάνου Ἰορδάνου
05001001 ἐν ἐν ἐν
05001001 τῇ τῇ τῇ
05001001 ἐρήμῳ ἐρήμῳ ἐρήμῳ
05001001 πρὸς πρὸς πρός
05001001 δυσμαῖς δυσμαῖς δυσμαῖς
05001001 πλησίον πλησίον πλησίον
05001001 τῆς τῆς τῆς
05001001 ἐρυθρᾶς ἐρυθρᾶς ἐρυθρᾶς
05001001 ἀνὰ ἀνὰ ἀνά
05001001 μέσον μέσον μέσον
05001001 Φαρὰν Φαρὰν Φαράν
05001001 Τόφολ Τόφολ Τόφολ
05001001 καὶ καὶ καί
05001001 Λοβὸν Λοβὸν Λοβόν
05001001 καὶ καὶ καί
05001001 Αὐλῶν Αὐλῶν Αὐλῶν
05001001 καὶ καὶ καί
05001001 Καταχρύσεα· Καταχρύσεα Καταχρύσεα
05001002 ἕνδεκα ἕνδεκα ἕνδεκα
05001002 ἡμερῶν ἡμερῶν ἡμερῶν
05001002 ἐν ἐν ἐν
05001002 Χωρὴβ Χωρὴβ Χωρήβ
05001002 ὁδὸς ὁδὸς ὁδός
05001002 ἐπ’ ἐπ’ ἐπί
05001002 ὄρος ὄρος ὄρος
05001002 Σηεὶρ Σηεὶρ Σηείρ
05001002 ἕως ἕως ἕως
05001002 Καδὴς Καδὴς Καδής
05001002 Βαρνή. Βαρνή Βαρνή
05001003 καὶ καὶ καί
05001003 ἐγενήθη ἐγενήθη ἐγενήθη
05001003 ἐν ἐν ἐν
05001003 τῷ τῷ τῷ
05001003 τεσσερακοστῷ τεσσερακοστῷ τεσσερακοστῷ
05001003 ἔτει, ἔτει ἔτει
05001003 ἐν ἐν ἐν
05001003 τῷ τῷ τῷ
05001003 ἑνδεκάτῳ ἑνδεκάτῳ ἑνδεκάτῳ
05001003 μηνὶ μηνὶ μηνί
05001003 μιᾷ μιᾷ μιᾷ
05001003 τοῦ τοῦ τοῦ
05001003 μηνός, μηνός μηνός
05001003 ἐλάλησεν ἐλάλησεν ἐλάλησεν
05001003 Μωυσῆς Μωυσῆς Μωυσῆς
05001003 πρὸς πρὸς πρός
05001003 πάντας πάντας πάντας
05001003 υἱοὺς υἱοὺς υἱούς
05001003 Ἰσραὴλ Ἰσραὴλ Ἰσραήλ
05001003 κατὰ κατὰ κατά
05001003 πάντα πάντα πάντα
05001003 ὅσα ὅσα ὅσα
05001003 ἐνετείλατο ἐνετείλατο ἐνετείλατο
05001003 Κύριος Κύριος Κύριος
05001003 αὐτῷ αὐτῷ αὐτῷ
05001003 πρὸς πρὸς πρός
05001003 αὐτούς, αὐτούς αὐτούς
05001004 μετὰ μετὰ μετά
05001004 τὸ τὸ τό
05001004 πατάξαι πατάξαι πατάξαι
05001004 Σηὼν Σηὼν Σηών
05001004 βασιλέα βασιλέα βασιλέα
05001004 Ἀμορραίων Ἀμορραίων Ἀμορραίων
05001004 τὸν τὸν τόν
05001004 κατοικήσαντα κατοικήσαντα κατοικήσαντα
05001004 ἐν ἐν ἐν
05001004 Ἑσεβὼν Ἑσεβὼν Ἑσεβών
05001004 καὶ καὶ καί
05001004 Ὢγ Ὢγ Ὤγ
05001004 βασιλέα βασιλέα βασιλέα
05001004 τῆς τῆς τῆς
05001004 Βασὰν Βασὰν Βασάν
05001004 τὸν τὸν τόν
05001004 κατοικήσαντα κατοικήσαντα κατοικήσαντα
05001004 ἐν ἐν ἐν
05001004 Ἀσταρὼθ Ἀσταρὼθ Ἀσταρώθ
05001004 καὶ καὶ καί
05001004 ἐν ἐν ἐν
05001004 Ἐδράειν, Ἐδράειν Ἐδράειν
05001005 ἐν ἐν ἐν
05001005 τῷ τῷ τῷ
05001005 πέραν πέραν πέραν
05001005 τοῦ τοῦ τοῦ
05001005 Ἰορδάνου Ἰορδάνου Ἰορδάνου
05001005 ἐν ἐν ἐν
05001005 γῇ γῇ γῇ
05001005 Μωὰβ Μωὰβ Μωάβ
05001005 ἢρξατο ἢρξατο ἤρξατο
05001005 Μωυσῆς Μωυσῆς Μωυσῆς
05001005 διασαφῆσαι διασαφῆσαι διασαφῆσαι
05001005 τὸν τὸν τόν
05001005 νόμον νόμον νόμον
05001005 τοῦτον τοῦτον τοῦτον
05001005 λέγων λέγων λέγων
05001006 Κύριος Κύριος Κύριος
05001006 ὁ ὁ ὁ
05001006 θεὸς θεὸς θεός
05001006 ἡμῶν ἡμῶν ἡμῶν
05001006 ἐλάλησεν ἐλάλησεν ἐλάλησεν
05001006 ἡμῖν ἡμῖν ἡμῖν
05001006 ἐν ἐν ἐν
05001006 Χωρὴβ Χωρὴβ Χωρήβ
05001006 λέγων λέγων λέγων
05001006 Ἱκανούσθω Ἱκανούσθω Ἱκανούσθω
05001006 ὑμῖν ὑμῖν ὑμῖν
05001006 κατοικεῖν κατοικεῖν κατοικεῖν
05001006 ἐν ἐν ἐν
05001006 τῷ τῷ τῷ
05001006 ὄρει ὄρει ὄρει
05001006 τούτῳ· τούτῳ τούτῳ
05001007 ἐπιστράφητε ἐπιστράφητε ἐπιστράφητε
05001007 καὶ καὶ καί
05001007 ἀπάρατε ἀπάρατε ἀπάρατε
05001007 ὑμεῖς ὑμεῖς ὑμεῖς
05001007 καὶ καὶ καί
05001007 εἰσπορεύεσθε εἰσπορεύεσθε εἰσπορεύεσθε
05001007 εἰς εἰς εἰς
05001007 ὄρος ὄρος ὄρος
05001007 Ἀμορραίων Ἀμορραίων Ἀμορραίων
05001007 καὶ καὶ καί
05001007 πρὸς πρὸς πρός
05001007 πάντας πάντας πάντας
05001007 τοὺς τοὺς τούς
05001007 περιοίκους περιοίκους περιοίκους
05001007 Ἀραβά, Ἀραβά Ἀραβά
05001007 εἰς εἰς εἰς
05001007 ὄρος ὄρος ὄρος
05001007 καὶ καὶ καί
05001007 πεδίον, πεδίον πεδίον
05001007 καὶ καὶ καί
05001007 πρὸς πρὸς πρός
05001007 λίβα λίβα λίβα
05001007 καὶ καὶ καί
