43001001 ΤΟ ΤΟ ΤΟ
43001001 ῥῆμα ῥῆμα ῥῆμα
43001001 τοῦ τοῦ τοῦ
43001001 θεοῦ θεοῦ θεοῦ
43001001 ὃ ὃ ὁ/ὅ@
43001001 ἐγένετο ἐγένετο ἐγένετο
43001001 ἐπὶ ἐπὶ ἐπί
43001001 Ἰερεμίαν Ἰερεμίαν Ἰερεμίαν
43001001 τὸν τὸν τόν
43001001 τοῦ τοῦ τοῦ
43001001 Χελκίου Χελκίου Χελκίου
43001001 ἐκ ἐκ ἐκ
43001001 τῶν τῶν τῶν
43001001 ἱερέων, ἱερέων ἱερέων
43001001 ὃς ὃς ὅς
43001001 κατῴκει κατῴκει κατῴκει
43001001 ἐν ἐν ἐν
43001001 Ἀναθὼθ Ἀναθὼθ Ἀναθώθ
43001001 ἐν ἐν ἐν
43001001 γῇ γῇ γῇ
43001001 Βενιαμείν· Βενιαμείν Βενιαμείν
43001002 ὃς ὃς ὅς
43001002 ἐγενήθη ἐγενήθη ἐγενήθη
43001002 λόγος λόγος λόγος
43001002 τοῦ τοῦ τοῦ
43001002 θεοῦ θεοῦ θεοῦ
43001002 πρὸς πρὸς πρός
43001002 αὐτὸν αὐτὸν αὐτόν
43001002 ἐν ἐν ἐν
43001002 ταῖς ταῖς ταῖς
43001002 ἡμέραις ἡμέραις ἡμέραις
43001002 Ἰωσεία Ἰωσεία Ἰωσεία
43001002 υἱοῦ υἱοῦ υἱοῦ
43001002 Ἀμὼς Ἀμὼς Ἀμώς
43001002 βασιλέως βασιλέως βασιλέως
43001002 Ἰούδα, Ἰούδα Ἰούδα
43001002 ἔτους ἔτους ἔτους
43001002 τρισκαιδεκάτου τρισκαιδεκάτου τρισκαιδεκάτου
43001002 ἐν ἐν ἐν
43001002 τῇ τῇ τῇ
43001002 βασιλείᾳ βασιλείᾳ βασιλείᾳ
43001002 αὐτοῦ. αὐτοῦ αὐτοῦ
43001003 καὶ καὶ καί
43001003 ἐγένετο ἐγένετο ἐγένετο
43001003 ἐν ἐν ἐν
43001003 ταῖς ταῖς ταῖς
43001003 ἡμέραις ἡμέραις ἡμέραις
43001003 Ἰωακεὶμ Ἰωακεὶμ Ἰωακείμ
43001003 υἱοῦ υἱοῦ υἱοῦ
43001003 Ἰωσεία Ἰωσεία Ἰωσεία
43001003 βασιλέως βασιλέως βασιλέως
43001003 Ἰούδα Ἰούδα Ἰούδα
43001003 ἕως ἕως ἕως
43001003 ἑνδεκάτου ἑνδεκάτου ἑνδεκάτου
43001003 ἔτους ἔτους ἔτους
43001003 τοῦ τοῦ τοῦ
43001003 Σεδεκία Σεδεκία Σεδεκία
43001003 υἱοῦ υἱοῦ υἱοῦ
43001003 Ἰωσεία Ἰωσεία Ἰωσεία
43001003 βασιλέως βασιλέως βασιλέως
43001003 Ἰούδα, Ἰούδα Ἰούδα
43001003 ἕως ἕως ἕως
43001003 τῆς τῆς τῆς
43001003 αἰχμαλωσίας αἰχμαλωσίας αἰχμαλωσίας
43001003 Ἰερουσαλὴμ Ἰερουσαλὴμ Ἰερουσαλήμ
43001003 ἐν ἐν ἐν
