20001001 ΡΗΜΑΤΑ ΡΗΜΑΤΑ ΡΗΜΑΤΑ
20001001 Ἐκκλησιαστοῦ Ἐκκλησιαστοῦ Ἐκκλησιαστοῦ
20001001 υἱοῦ υἱοῦ υἱοῦ
20001001 Δαυεὶδ Δαυεὶδ Δαυείδ
20001001 βασιλέως βασιλέως βασιλέως
20001001 Ἰσραὴλ Ἰσραὴλ Ἰσραήλ
20001001 ἐν ἐν ἐν
20001001 Ἰερουσαλήμ. Ἰερουσαλήμ Ἰερουσαλήμ
20001002 Ματαιότης Ματαιότης Ματαιότης
20001002 ματαιοτήτων, ματαιοτήτων ματαιοτήτων
20001002 εἶπεν εἶπεν εἶπεν
20001002 ὁ ὁ ὁ
20001002 ἐκκλησιαστής, ἐκκλησιαστής ἐκκλησιαστής
20001002 ⸂⸆⸃ ⸂⸆⸃ ⸂⸆⸃
20001002 ματαιότης ματαιότης ματαιότης
20001002 ματαιοτήτων, ματαιοτήτων ματαιοτήτων
20001002 τὰ τὰ τά
20001002 πάντα πάντα πάντα
20001002 ματαιότης. ματαιότης ματαιότης
20001003 τίς τίς τίς
20001003 περισσεία περισσεία περισσεία
20001003 τῷ τῷ τῷ
20001003 ἀνθρώπῳ ἀνθρώπῳ ἀνθρώπῳ
20001003 ἐν ἐν ἐν
20001003 παντὶ παντὶ παντί
20001003 μόχθῳ μόχθῳ μόχθῳ
20001003 αὐτοῦ αὐτοῦ αὐτοῦ
20001003 ᾧ ᾧ ᾧ
20001003 μοχθεῖ μοχθεῖ μοχθεῖ
20001003 ὑπὸ ὑπὸ ὑπό
20001003 τὸν τὸν τόν
20001003 ἥλιον; ἥλιον ἥλιον
20001004 γενεὰ γενεὰ γενεά
20001004 πορεύεται πορεύεται πορεύεται
20001004 καὶ καὶ καί
20001004 γενεὰ γενεὰ γενεά
20001004 ἔρχεται, ἔρχεται ἔρχεται
20001004 καὶ καὶ καί
20001004 ἡ ἡ ἡ
20001004 γῆ γῆ γῆ
20001004 εἰς εἰς εἰς
20001004 τὸν τὸν τόν
20001004 αἰῶνα αἰῶνα αἰῶνα
20001004 ἕστηκεν. ἕστηκεν ἕστηκεν
20001005 καὶ καὶ καί
20001005 ἀνατέλλει ἀνατέλλει ἀνατέλλει
20001005 ὁ ὁ ὁ
20001005 ἥλιος ἥλιος ἥλιος
20001005 καὶ καὶ καί
20001005 δύνει δύνει δύνει
20001005 ὁ ὁ ὁ
20001005 ἥλιος ἥλιος ἥλιος
20001005 καὶ καὶ καί
20001005 εἰς εἰς εἰς
20001005 τὸν τὸν τόν
20001005 τόπον τόπον τόπον
20001005 αὐτοῦ αὐτοῦ αὐτοῦ
20001005 ἕλκει· ἕλκει ἕλκει
20001005 αὐτὸς αὐτὸς αὐτός
20001005 ἀνατέλλων ἀνατέλλων ἀνατέλλων
20001005 ἐκεῖ ἐκεῖ ἐκεῖ
20001006 πορεύεται πορεύεται πορεύεται
20001006 πρὸς πρὸς πρός
20001006 νότον νότον νότον
20001006 καὶ καὶ καί
20001006 κυκλοῖ κυκλοῖ κυκλοῖ
20001006 πρὸς πρὸς πρός
20001006 βορρᾶν· βορρᾶν βορρᾶν
20001006 κυκλοῖ κυκλοῖ κυκλοῖ
20001006 κυκλῶν, κυκλῶν κυκλῶν
20001006 πορεύεται πορεύεται πορεύεται
20001006 τὸ τὸ τό
20001006 πνεῦμα, πνεῦμα πνεῦμα
