02001001 ΤΑΥΤΑ ΤΑΥΤΑ ΤΑΥΤΑ
02001001 τὰ τὰ τά
02001001 ὀνόματα ὀνόματα ὀνόματα
02001001 τῶν τῶν τῶν
02001001 υἱῶν υἱῶν υἱῶν
02001001 Ἰσραὴλ Ἰσραὴλ Ἰσραήλ
02001001 τῶν τῶν τῶν
02001001 εἰσπεπορευμένων εἰσπεπορευμένων εἰσπεπορευμένων
02001001 εἰς εἰς εἰς
02001001 Αἴγυπτον Αἴγυπτον Αἴγυπτον
02001001 ἅμα ἅμα ἅμα
02001001 Ἰακὼβ Ἰακὼβ Ἰακώβ
02001001 τῷ τῷ τῷ
02001001 πατρὶ πατρὶ πατρί
02001001 αὐτῶν· αὐτῶν αὐτῶν
02001001 ἕκαστος ἕκαστος ἕκαστος
02001001 πανοικὶ πανοικὶ πανοικί
02001001 αὐτῶν αὐτῶν αὐτῶν
02001001 εἰσήλθοσαν· εἰσήλθοσαν εἰσήλθοσαν
02001002 Ῥουβήν, Ῥουβήν Ῥουβήν
02001002 Συμεών, Συμεών Συμεών
02001002 Λευεί, Λευεί Λευεί
02001002 Ἰούδας, Ἰούδας Ἰούδας
02001003 Ἰσσαχάρ, Ἰσσαχάρ Ἰσσαχάρ
02001003 Ζαβουλὼν Ζαβουλὼν Ζαβουλών
02001003 καὶ καὶ καί
02001003 Βενιαμείν, Βενιαμείν Βενιαμείν
02001004 Δὰν Δὰν Δάν
02001004 καὶ καὶ καί
02001004 Νεφθαλεί, Νεφθαλεί Νεφθαλεί
02001004 Γὰδ Γὰδ Γάδ
02001004 καὶ καὶ καί
02001004 Ἀσήρ. Ἀσήρ Ἀσήρ
02001005 Ἰωσὴφ Ἰωσὴφ Ἰωσήφ
02001005 δὲ δὲ δέ
02001005 ἦν ἦν ἦν
02001005 ἐν ἐν ἐν
02001005 Αἰγύπτῳ· Αἰγύπτῳ Αἰγύπτῳ
02001005 ἦσαν ἦσαν ἦσαν
02001005 δὲ δὲ δέ
02001005 πᾶσαι πᾶσαι πᾶσαι
02001005 ψυχαὶ ψυχαὶ ψυχαί
02001005 ἐξ ἐξ ἐκ
02001005 Ἰακὼβ Ἰακὼβ Ἰακώβ
02001005 πέντε πέντε πέντε
02001005 καὶ καὶ καί
02001005 ἑβδομήκοντα. ἑβδομήκοντα ἑβδομήκοντα
02001006 Ἐτελεύτησεν Ἐτελεύτησεν Ἐτελεύτησεν
02001006 δὲ δὲ δέ
02001006 Ἰωσὴφ Ἰωσὴφ Ἰωσήφ
02001006 καὶ καὶ καί
02001006 πάντες πάντες πάντες
02001006 οἱ οἱ οἱ
02001006 ἀδελφοὶ ἀδελφοὶ ἀδελφοί
02001006 αὐτοῦ αὐτοῦ αὐτοῦ
02001006 καὶ καὶ καί
02001006 πᾶσα πᾶσα πᾶσα
02001006 ἡ ἡ ἡ
02001006 γενεὰ γενεὰ γενεά
02001006 ἐκείνη. ἐκείνη ἐκείνη
02001007 οἱ οἱ οἱ
02001007 δὲ δὲ δέ
02001007 υἱοὶ υἱοὶ υἱοί
02001007 Ἰσραὴλ Ἰσραὴλ Ἰσραήλ
02001007 ηὐξήθησαν ηὐξήθησαν ηὐξήθησαν
02001007 καὶ καὶ καί
02001007 ἐπληθύνθησαν ἐπληθύνθησαν ἐπληθύνθησαν
02001007 καὶ καὶ καί
02001007 χυδαῖοι χυδαῖοι χυδαῖοι
02001007 ἐγένοντο ἐγένοντο ἐγένοντο
02001007 καὶ καὶ καί
02001007 κατίσχυον κατίσχυον κατίσχυον
02001007 σφόδρα σφόδρα σφόδρα
02001007 σφόδρα· σφόδρα σφόδρα
02001007 ἐπλήθυνεν ἐπλήθυνεν ἐπλήθυνεν
02001007 δὲ δὲ δέ
02001007 ἡ ἡ ἡ
02001007 γῆ γῆ γῆ
02001007 αὐτούς. αὐτούς αὐτούς
02001008 Ἀνέστη Ἀνέστη Ἀνέστη
02001008 δὲ δὲ δέ
02001008 βασιλεὺς βασιλεὺς βασιλεύς
