05001001 ΟΥΤΟΙ ΟΥΤΟΙ
05001001 οἱ οἱ
05001001 λόγοι λόγοι
05001001 οὓς οὓς
05001001 ἐλάλησεν ἐλάλησεν
05001001 Μωυσῆς Μωυσῆς
05001001 παντὶ παντὶ
05001001 Ἰσραὴλ Ἰσραὴλ
05001001 πέραν πέραν
05001001 τοῦ τοῦ
05001001 Ἰορδάνου Ἰορδάνου
05001001 ἐν ἐν
05001001 τῇ τῇ
05001001 ἐρήμῳ ἐρήμῳ
05001001 πρὸς πρὸς
05001001 δυσμαῖς δυσμαῖς
05001001 πλησίον πλησίον
05001001 τῆς τῆς
05001001 ἐρυθρᾶς ἐρυθρᾶς
05001001 ἀνὰ ἀνὰ
05001001 μέσον μέσον
05001001 Φαρὰν Φαρὰν
05001001 Τόφολ Τόφολ
05001001 καὶ καὶ
05001001 Λοβὸν Λοβὸν
05001001 καὶ καὶ
05001001 Αὐλῶν Αὐλῶν
05001001 καὶ καὶ
05001001 Καταχρύσεα· Καταχρύσεα
05001002 ἕνδεκα ἕνδεκα
05001002 ἡμερῶν ἡμερῶν
05001002 ἐν ἐν
05001002 Χωρὴβ Χωρὴβ
05001002 ὁδὸς ὁδὸς
05001002 ἐπ’ ἐπ’
05001002 ὄρος ὄρος
05001002 Σηεὶρ Σηεὶρ
05001002 ἕως ἕως
05001002 Καδὴς Καδὴς
05001002 Βαρνή. Βαρνή
05001003 καὶ καὶ
05001003 ἐγενήθη ἐγενήθη
05001003 ἐν ἐν
05001003 τῷ τῷ
05001003 τεσσερακοστῷ τεσσερακοστῷ
05001003 ἔτει, ἔτει
05001003 ἐν ἐν
05001003 τῷ τῷ
05001003 ἑνδεκάτῳ ἑνδεκάτῳ
05001003 μηνὶ μηνὶ
05001003 μιᾷ μιᾷ
05001003 τοῦ τοῦ
05001003 μηνός, μηνός
05001003 ἐλάλησεν ἐλάλησεν
05001003 Μωυσῆς Μωυσῆς
05001003 πρὸς πρὸς
05001003 πάντας πάντας
05001003 υἱοὺς υἱοὺς
05001003 Ἰσραὴλ Ἰσραὴλ
05001003 κατὰ κατὰ
05001003 πάντα πάντα
05001003 ὅσα ὅσα
05001003 ἐνετείλατο ἐνετείλατο
05001003 Κύριος Κύριος
05001003 αὐτῷ αὐτῷ
05001003 πρὸς πρὸς
05001003 αὐτούς, αὐτούς
05001004 μετὰ μετὰ
05001004 τὸ τὸ
05001004 πατάξαι πατάξαι
05001004 Σηὼν Σηὼν
05001004 βασιλέα βασιλέα
05001004 Ἀμορραίων Ἀμορραίων
05001004 τὸν τὸν
05001004 κατοικήσαντα κατοικήσαντα
05001004 ἐν ἐν
05001004 Ἑσεβὼν Ἑσεβὼν
05001004 καὶ καὶ
05001004 Ὢγ Ὢγ
05001004 βασιλέα βασιλέα
05001004 τῆς τῆς
05001004 Βασὰν Βασὰν
05001004 τὸν τὸν
05001004 κατοικήσαντα κατοικήσαντα
